"CPF","Documento"
"Birth Date","Fecha de nacimiento"
"Name on Card","Nombre que aparece en la tarjeta"
"Credit Card Number","Número de la tarjeta de crédito"
"Credit Card CVV","Código de seguridad"
"Credit Card Type","Tipo de tarjeta de crédito"
"Expiration Date","Fecha de caducidad"
"Day","Día"
"Month","Mes"
"Year","Año"
"January","Enero"
"February","Febrero"
"March","Marzo"
"April","Abril"
"May","Mayo"
"June","Junio"
"July","Julio"
"August","Agosto"
"September","Septiembre"
"October","Octubre"
"November","Noviembre"
"December","Deciembre"
"Installments","Cuotas"
"com juros","con interés"
"sem juros","sin interés"
