"CPF","CPF"
"Birth Date","Data de nascimento"
"Name on Card","Nome no seu cartão"
"Credit Card Number","Número do cartão"
"Credit Card CVV","Código de segurança do cartão"
"Credit Card Type","Bandeira do cartão"
"Expiration Date","Data de validade do cartão"
"Day","Dia"
"Month","Mês"
"Year","Ano"
"January","Janeiro"
"February","Fevereiro"
"March","Março"
"April","Abril"
"May","Maio"
"June","Junho"
"July","Julho"
"August","Agosto"
"September","Setembro"
"October","Outubro"
"November","Novembro"
"December","Dezembro"
"Installments","Parcelas"
"com juros","com juros"
"sem juros","sem juros"
"The supplied CPF is invalid","O CPF informado é inválido"
"Please Select","Por favor selecione"
